nav_root,nav_group,nav_group_1,Part Number,Description,Discount Type,2026 List Price
Ancillaries,Door Holders,,04390-31,Magnet Door Holder 24V DC 22mA,HSF,£36.30
Ancillaries,Door Holders,,04390-55,Magnet Door Holder 240V AC 17.5mA,HSF,£42.00
Ancillaries,Door Holders,,04390-92,Door Holder Floor Plate,HSF,£13.40
Ancillaries,Door Holders,,04390-99,Door Plate Assembly (Spare),HSF,£20.10
Ancillaries,Door Holders,,04390-41,Magnet Door Holder Floor Mounted 24V DC 45mA,HSF,£51.60
Ancillaries,Transformer Rectifier,,HLS-PSU-TR20,Transformer Rectifier 24VDC 2.0A,HSF,£73.00
Ancillaries,Transformer Rectifier,,HLS-PSU-TR40,Transformer Rectifier 24VDC 4.0A,HSF,£94.00
Ancillaries,PSU,,HLSPS50,24VDC 5amp EN54-4 Power Supply,HSF,£325.00
Ancillaries,PSU,,HLSPS25,24VDC 2.5amp EN54-4 Power Supply ,HSF,£258.00
Ancillaries,Doc Box,,HLS-DOCBOX,Lockable Enclosure for Storage of Site Documentation,HSF,£74.00
Xtralis,Filter,,ISP-001,"ICAM Replacement black filter element - course (20 ppi)
Pack of 10
Available until 31-12-2023",HSF,£68.00
Xtralis,Filter,,ISP-002,"ICAM Replacement black filter element - fine (45ppi)
Pack of 10
Available until 31-12-2023",HSF,£68.00
FAAST,FAAST FLEX,,FLX-010,Single channel ASD Unit,HSF,£910.00
FAAST,FAAST FLEX,,FLX-020,Dual channel ASD unit,HSF,"£1,165.00"
FAAST,FAAST FLEX,,MI-FLX-010,Single channel ASD Unit -System Sensor Protocol Addressable loop connected,HSF,£915.00
FAAST,FAAST FLEX,,MI-FLX-020,Dual channel ASD unit - System Sensor Protocol Addressable loop connected,HSF,"£1,158.00"
FAAST,ASD  Interfaces & Accessories,,S4-34440-ASD,ASD Mains Powered Interface for FAAST LT. Batteries not included - requires 2 x 4015-604-YFR (Power Sonic Flame Retardant 12V 14Ah) to meet compliance regulations.,STD,"£1,059.00"
FAAST,ASD  Interfaces & Accessories,,VSINT-PCB-ASD,Spare PCB for Vigilon ASD Interface ,STD,£981.00
FAAST,ASD  Interfaces & Accessories,,VSINT-PCB-LT,Connection PCB for FAAST Interface (FAAST LT),STD,£80.00
FAAST,Filter,,F-A3384-000,"AIR FILTER FOR FAAST 7100E, 8100E & 9400X",STD,£225.00
FAAST,Filter,,FL-IF-2,"FAAST LT Spare Filter, Pack of 2",STD,£33.70
FAAST,Filter,,F-INF-25,FAAST LT200 External Pipe Filter,STD,£271.00
FAAST,Filter,,F-INF-25-RF,FAAST LT200 External Pipe Filter - Replacement Filter Pack. Pack of 4.,STD,£121.00
FAAST,Aspirator Accessories,,F-LT-EB,FAAST LT Earth Bar,STD,£55.00
FAAST,Aspirator Accessories,,FLT2-AB-SA2,FAAST LT200 Standalone dual channel accessories box,STD,£161.00
FAAST,Aspirator Spares,,F-SEN-SSE,Replacement sensor for FAAST LT200 - Standalone,STD,£445.00
FAAST,Aspirator Spares,,G07-0199-000,FAAST LT Replacement Fan Gasket,STD,£110.00
FAAST,Aspirator Spares,,P87-0511-001,FAAST LT Replacement Fan Assembly,STD,£106.00
FAAST,Aspirator Spares,,FLX-SP-01,FAAST Flex Aspirating Smoke Detector Accessory: Sensing Module,HSF,£180.00
FAAST,Aspirator Spares,,FLX-SP-02,FAAST FlexAspirating Smoke Detector Accessory: Metal Filter: Pack of 6,HSF,£43.90
FAAST,Aspirator Spares,,FLX-SP-03-EN,FAAST Flex Aspirating Smoke Detector Accessory: Front Cover,HSF,£188.00
FAAST,Aspirator Spares,,FLX-SP-04,FAAST Flex,HSF,£171.00
FAAST,Aspirator Spares,,FLX-SP-05-EN,FAAST Flex Aspirating Smoke Detector Accessory: Internal Cover Set,HSF,£165.00
FAAST,Aspirator Spares,,FLX-SP-06,FAAST FLEX ADAPTER SET,HSF,£33.00
FAAST,Air Purging,,F-BO-AFE70-2,FAAST Automatic Purging Unit,HSF,"£1,668.00"
FAAST,Air Purging,,F-BO-AFE70-3,FAAST Automatic Purging Unit- Freezer Applications,HSF,"£2,886.00"
Xtralis,VEP,,VEP-A00-P,4 Pipe VEP with FOK LED's - Black Plastic,XLS,"£4,548.00"
Xtralis,VEP,,VEP-A10-P,"4 Pipe VEP with 3.5"" Touchscreen Display - Black Plastic",XLS,"£5,366.00"
Xtralis,VEP,,VEP-A00-1P,Single Pipe VEP with FOK LED's - Black Plastic,XLS,"£3,554.00"
Xtralis,VEU,,VEU-A00,VEU with LEDs,XLS,"£6,910.00"
Xtralis,VEU,,VEU-A10,"VEU with 3.5"" Display",XLS,"£8,193.00"
Xtralis,VES,,VES-A10-P,"VESDA-E VE Scanner detector with 3.5"" Display",XLS,"£9,393.00"
Xtralis,Spares,,020-050-E,ASD ENCL IP66 VESDA-E,XLS,"£1,519.00"
Xtralis,Spares,,VSP-960,VESDA-E Mounting Bracket,XLS,£103.00
Xtralis,Spares,,VSP-962,VESDA-E Filter,XLS,£165.00
Xtralis,Spares,,VSP-962-20,VESDA-E Filter - Pack of 20,XLS,"£2,658.00"
Xtralis,Spares,,VSP-963,VESDA-E Aspirator,XLS,£994.00
Xtralis,Aspirator Spares,,VSP-964-04,"VEU, VEP, VEP-1P, VES. Spare Smoke Detection Chamber ",XLS,"£3,703.00"
Xtralis,Spares,,VSP-965,VESDA-E Sampling Chamber,XLS,"£1,047.00"
Xtralis,Spares,,VSP-966,VESDA-E VEU-A00 Front Cover LEDs,XLS,"£1,407.00"
Xtralis,Spares,,VSP-967,"VESDA-E VEU-A10 Front Cover 3.5"" Display",XLS,"£2,232.00"
Xtralis,Aspirator Spares,,VSP-967-04,"VEU-A10 Front Cover - Aluminium - LCD - 3.5"" Display",XLS,"£2,167.00"
Xtralis,Spares,,VSP-968,VESDA-E VEP-A00-P/1P Front Cover Plastic LEDs,XLS,£666.00
Xtralis,Spares,,VSP-969,"VESDA-E VEP-A10-P Front Cover Plastic 3.5"" Display",XLS,"£1,569.00"
Xtralis,Aspirator Spares,,VSP-969-04,"VEP-A10-P Front Cover - Plastic - LCD - 3.5"" Display",XLS,"£1,522.00"
Xtralis,Aspirator Spares,,VSP-969-04-S,"VES-A10-P Front Cover - Plastic - LCD - 3.5"" Display",XLS,"£1,642.00"
Xtralis,Spares,,VSP-955,VESDA-E VES SCANNER MANIFOLD,XLS,"£1,865.00"
Xtralis,Aspirator Spares,,VSP-955-04,VES Scanner Manifold,XLS,"£1,810.00"
Xtralis,Spares,,VSP-956,VESDA-E SERIES VEP/VEU Manifold,XLS,£782.00
Xtralis,Aspirator Spares,,VSP-956-04,"VEU, VEP, VEP-1P spare manfold",XLS,£759.00
Xtralis,Spares,,VSP-964-03,VESDA-E DET CHAMBER MK3,XLS,"£3,814.00"
Xtralis,Spares,,VSP-969-S,"VESDA-E COVER FR 3.5"" DISP VES-A10-P",XLS,"£1,692.00"
Xtralis,Demo Kit,,VKT-855,VESDA-E VE Scanner demo kit,XLS,"£10,891.00"
Xtralis,PSU,,VPS-220-STX5,VESDA-E STX PSU 0.5A (7-14AH) - BLACK,XLS,£547.00
Xtralis,PSU,,VPS-250-STX5,VESDA-E STX PSU 3A (7-24AH) - BLACK,XLS,£798.00
Xtralis,PSU,,VPS-220-STX5-SLV,VESDA-E STX PSU 0.5A (7-14AH) - SILVER,XLS,£604.00
Xtralis,PSU,,VPS-250-STX5-SLV,VESDA-E STX PSU 3A (7-24AH )- SILVER,XLS,£855.00
Xtralis,PSU,,VPS-215-E5,"24Volt 0.5 amp Power Supply Unit
Smaller enclosure with space for up to 7Ah batteries.",XLS,£431.00
Xtralis,PSU,,VPS-220-E5,"24Volt 0.5 amp Power Supply Unit 
Larger enclosure with space for up to 12 Ah batteries.",XLS,£525.00
Xtralis,PSU,,VPS-250-E5,"24Volt 3 amp Power Supply Unit
With space for up to 38Ah batteries",XLS,£832.00
Xtralis,VLF,,VLF-250-00,Small Area Detector,XLS,"£2,226.00"
Xtralis,VLF,,VLF-500-00,Smallish Area Detector,XLS,"£2,960.00"
Xtralis,VLF,,VSP-704,VLF English & Icon Display ,XLS,"£1,135.00"
Xtralis,VLF,,VSP-715,VLF-500 Aspirator Assembly (2 fans)     ,XLS,£988.00
Xtralis,VLF,,VSP-722,VLF-250 Aspirator Assembly (1 fan)      ,XLS,"£1,016.00"
Xtralis,VLI,,VLI-885,VLI with VESDAnet,XLS,"£11,938.00"
Xtralis,VLI,,VLI-880,VLI with relays and Ethernet only,XLS,"£10,987.00"
Xtralis,VLI,,VSP-032,VLI Aspirator,XLS,"£1,015.00"
Xtralis,VLI,,VSP-033,VLI Chamber Assembly,XLS,"£2,843.00"
Xtralis,VLI,,VSP-034,VLI VESDAnet Card Spare Part,XLS,"£1,216.00"
Xtralis,VLI,,VSP-035,VLI Remote Display Module,XLS,"£1,365.00"
Xtralis,VLI,,VSP-036,VLI Ultrasonic Flow Sensor Manifold Spare,XLS,"£1,971.00"
Xtralis,VLI,,VSP-030,VLI Intelligent Filter,XLS,£787.00
Xtralis,VLI,,VSP-031,VLI Secondary filter,XLS,£199.00
Xtralis,Remote Modules,,VRT-000,Remote Mounting Box Only,XLS,£318.00
Xtralis,Remote Modules,,VRT-100,Remote Programmer,XLS,"£1,696.00"
Xtralis,Remote Modules,,VRT-200,Remote Display (7 relays),XLS,"£1,748.00"
Xtralis,Remote Modules,,VRT-300,Remote VESDAnet socket,XLS,£945.00
Xtralis,Remote Modules,,VRT-400,Remote Scan display (7 relays),XLS,"£1,990.00"
Xtralis,Remote Modules,,VRT-500,Remote Relays (7 Relays),XLS,"£1,288.00"
Xtralis,Remote Modules,,VRT-600,Remote Display No Relays,XLS,"£1,592.00"
Xtralis,Remote Modules,,VRT-700,Remote Scanner Disp No Relays,XLS,"£1,598.00"
Xtralis,Remote Modules,,VRT-800,Remote Scanner Disp (12 Relays),XLS,"£2,056.00"
Xtralis,Remote Modules,,VRT-900,Remote Relays (12 Relays),XLS,"£1,633.00"
Xtralis,Remote Modules,,VRT-J00,Remote Compact Displays (7 Relays),XLS,"£2,073.00"
Xtralis,Remote Modules,,VRT-K00,Remote Compact Displays (No relays),XLS,"£1,763.00"
Xtralis,Remote Modules,,VRT-E00,Remote Relays (7 relays) Scanner Only,XLS,"£1,366.00"
Xtralis,Remote Modules,,VRT-S07,System Relay Module,XLS,"£1,307.00"
Xtralis,Remote Modules,,VRT-V00,VLF Remote Display with Relays,XLS,"£1,760.00"
Xtralis,Remote Modules,,VRT-W00,VLF Remote Display without Relays,XLS,"£1,651.00"
Xtralis,Remote Modules,,VRT-Q00,VLI Remote Display With Relays,XLS,"£1,801.00"
Xtralis,Remote Modules,,VRT-T00,VLI Remote Display without Relays,XLS,"£1,604.00"
Xtralis,Programming & Connectivity,,VIC-010,VESDAnet Card for FOCUS,XLS,£632.00
Xtralis,Programming & Connectivity,,VIC-020,Multi-function Control Card,XLS,£437.00
Xtralis,Programming & Connectivity,,VIC-030,Multi-function Control Card with MPO,XLS,£705.00
Xtralis,Programming & Connectivity,,VHH-100,Handheld programmer + leads,XLS,"£1,633.00"
Xtralis,Programming & Connectivity,,VHX-0200,PC Link HLI + leads,XLS,"£1,500.00"
Xtralis,Programming & Connectivity,,VHX-1200,V skt and HLI in enclosure,XLS,"£2,171.00"
Xtralis,Programming & Connectivity,,VHX-0300,PC Link HLI + leads (Open Protocol),XLS,"£2,316.00"
Xtralis,Programming & Connectivity,,VHX-0310,PC Link HLI Open Protocol Master/Slave,XLS,"£2,294.00"
Xtralis,Programming & Connectivity,,VHX-0320,PC Link HLI Access Protocol,XLS,"£2,252.00"
Xtralis,Programming & Connectivity,,VHX-1300,Metal Box HLI - Peer to Peer,XLS,"£4,337.00"
Xtralis,Programming & Connectivity,,VHX-1310,Metal Box HLI - Master-Slave,XLS,"£4,142.00"
Xtralis,Programming & Connectivity,,VHX-1320,Metal Box HLI - Access Protocol,XLS,"£4,258.00"
Xtralis,Programming & Connectivity,,VHX-0400,Modbus MK1 HLI,XLS,"£2,358.00"
Xtralis,Programming & Connectivity,,VHX-0410,Modbus HLI for Darwish & Honeywell only,XLS,"£2,358.00"
Xtralis,Programming & Connectivity,,VHX-0420,PC Link HLI Modbus MK3,XLS,"£2,316.00"
Xtralis,Programming & Connectivity,,VHX-1400,Metal box HLI - Modbus Type 1,XLS,"£4,337.00"
Xtralis,Programming & Connectivity,,VHX-1410,Metal box HLI - Modbus Type 2,XLS,"£4,337.00"
Xtralis,Programming & Connectivity,,VHX-1420,Metal box HLI - Modbus Type 3,XLS,"£4,258.00"
Xtralis,Software,,VSW-206,First PC licence,XLS,"£2,657.00"
Xtralis,Software,,VSW-216,Additional PC licence / PC,XLS,"£2,251.00"
Xtralis,Software,,VSW-346,VESDAnet network connection,XLS,£538.00
Xtralis,Software,,VSW-356,VESDAnet Detector Connection per detector,XLS,£143.00
Xtralis,Software,,VSW-366,VESDAtalk/VESDAlink Detector Connection,XLS,£409.00
Xtralis,Software,,VSW-501,Text to speech (add voice message),XLS,"£1,845.00"
Xtralis,Software,,VSW-600,Remote Notification by Email,XLS,£686.00
Xtralis,VEA Panel,,VEA-040-A00,VESDA-E VEA-40 Det with LEDs,XLS,"£13,288.00"
Xtralis,VEA Panel,,VEA-040-A10,"VESDA-E VEA-40 Det with 3.5"" Display",XLS,"£14,627.00"
Xtralis,VEA Panel,,VER-A40-40-STX,VESDA-E VEA 40-Relay Local StaX,XLS,"£3,562.00"
